ID,ra,dec,Tmag
764522865,104.59098,-79.177956,9.6499
764522863,104.59312,-79.17828,9.9226
278020750,104.59098,-79.177956,9.6499
278411617,116.68996,-78.41485,8.352
309413218,138.34526,-78.2284,8.384
309413314,138.4836,-78.339294,9.0971
323575193,135.31847,-78.48352,8.4451
323521492,134.91528,-78.327095,9.9235
323521694,134.7798,-78.53763,9.8862
323682035,137.14511,-78.32553,8.9309
323686038,137.97092,-78.08762,8.1716
323685983,137.89659,-78.01921,8.979
323623892,136.84033,-78.265114,9.7619
323426967,132.67094,-78.04466,8.9972
323349977,131.44034,-78.51076,9.9881
323624039,136.32426,-78.40165,9.7704
323575114,135.64973,-78.38743,9.1928
323575088,135.35306,-78.34396,8.2855
323681928,137.10071,-78.21129,9.5399
323813481,141.14308,-78.04647,9.5203
323133162,127.72263,-78.70487,7.6588
323132659,127.62855,-78.13868,9.0093
323133127,127.62585,-78.65795,8.758
323065125,126.99736,-78.11519,9.8872
323133034,128.11537,-78.556946,9.2313
323133103,127.78861,-78.62466,8.9359
323132914,127.99439,-78.407455,9.4091
323065447,127.101295,-78.46536,9.9669
309435167,138.80449,-78.11734,9.7511
278541854,121.90134,-78.9806,9.8435
278591027,123.20025,-78.01872,9.9724
278588681,122.52849,-79.42164,9.0918
322955124,125.251656,-78.605606,8.1791
322955176,125.64896,-78.673225,8.6925
323521281,134.85243,-78.092636,5.9914
323462052,133.63486,-78.65111,9.1728
323006028,126.2942,-78.815056,8.9225
323005936,125.95739,-78.7176,7.8046
323427408,132.57349,-78.48328,8.4195
323005969,126.09795,-78.7508,9.7078
323065603,127.16682,-78.61246,9.09
323172376,129.09242,-78.49564,8.0076
323426993,132.22516,-78.06457,9.3607
323427062,132.39326,-78.12876,9.226
322901721,124.10263,-78.45105,9.6925
278544738,122.59065,-78.372314,7.4433
278477960,120.490906,-78.309654,8.7549
278478139,119.9822,-78.55923,8.8454
278478653,120.42945,-79.29425,9.3157
278522162,121.579926,-79.26049,9.1909
323521562,134.9191,-78.40357,8.7877
323136826,128.33426,-78.150055,9.5229
323137025,128.68462,-78.3368,7.9943
323137371,128.32465,-78.74212,9.47
278591459,123.46753,-78.57127,9.4112
278591693,123.11925,-78.84031,9.4526
278541630,122.03693,-78.69489,6.1841
278541616,122.24772,-78.67791,9.9434
278541813,121.74338,-78.91606,9.596
323065874,127.210625,-78.92607,6.823
323061208,126.7568,-78.17613,9.6494
302988311,119.25433,-78.670296,9.5722
323171949,128.96724,-78.06777,7.7333
323172361,129.12823,-78.48587,9.2014
323241457,129.46434,-78.74363,9.9486
323241352,129.76906,-78.64004,9.4903
278544957,122.835884,-78.65304,8.6481
278588464,122.46201,-79.10537,9.6569
