ID,ra,dec,Tmag
141829826,93.30213,-76.62528,9.364
388182507,105.84798,-76.081116,9.7344
141771483,92.490135,-76.25561,8.9286
391924088,106.9278,-76.04921,6.3892
391924128,106.72527,-76.12557,9.5952
141865875,93.80231,-77.052376,7.6885
141811463,92.83701,-77.51219,8.7814
141822625,93.17271,-76.770065,9.7882
141811469,92.59223,-77.549194,9.7103
141811912,92.93698,-77.35657,7.2681
141811945,92.976654,-77.268715,9.9684
141822527,93.02281,-76.98404,7.9113
141811921,93.12851,-77.332466,9.3261
141810872,92.721214,-76.24719,9.0084
141866268,93.84323,-76.200554,6.9094
141822868,93.14983,-76.27124,8.6804
141822908,93.17661,-76.19315,9.9637
141770496,92.06771,-77.4053,7.8444
141770592,92.09982,-77.65352,9.7693
141770198,91.87543,-76.6909,8.1676
141770299,91.85841,-76.92691,9.0503
141770438,91.83703,-77.27135,9.3906
141770583,91.92597,-77.63356,8.796
141771105,92.202736,-77.029106,7.7982
140635238,71.88346,-76.11663,9.5458
141909987,94.25179,-77.10299,7.5686
141909992,94.141304,-77.11993,9.0882
141910606,94.749374,-77.328514,8.5874
370139723,73.37263,-77.5364,8.1318
370140250,73.59266,-76.15143,8.4838
141811460,92.81253,-77.5057,8.1847
141811001,92.606895,-76.516464,9.5279
141811377,92.57933,-77.35502,9.8133
141811633,92.73792,-77.95727,9.0061
141865224,93.47368,-77.21475,9.8126
141811445,92.55966,-77.46959,9.665
141811261,92.610374,-77.10559,6.8204
140946106,77.5354,-76.139565,7.6821
261332418,92.24023,-77.91856,9.0326
140899825,76.96563,-76.43972,8.5035
141866084,94.06281,-76.636,8.4399
140608448,71.42258,-76.3045,7.788
140946237,77.22945,-76.462906,8.736
140899871,76.852066,-76.38119,8.9765
140826924,75.01998,-77.302345,9.4005
141755432,91.58757,-76.36047,7.8692
140664663,72.66912,-76.554695,9.6675
140598987,69.15712,-76.88373,7.5596
140858013,76.1928,-76.72718,8.8359
370233984,85.61345,-77.945915,9.885
140635285,72.04993,-76.27146,9.4901
407621805,71.02087,-76.30551,7.2525
358174642,70.76049,-76.5636,9.0405
358174909,70.785904,-77.0091,9.6027
735221424,93.17721,-75.92919,8.1227
140797538,74.44835,-75.260315,9.045
141823041,93.17721,-75.92919,8.1227
271812636,112.37037,-75.31493,8.7192
